materia,texto_pregunta,imagen,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,procedimiento
Matemáticas,Hallar el vigésimo término de la siguiente sucesión:,"7,17,31,49,71,…",721,799,881,967,C,
Matemáticas,"En la siguiente sucesión, cuantos de sus terminos tienen 3 cifras? :","7,13,19,25,31,…",149,150,151,152,B,
Matemáticas,Identificar el termino faltante en la sucesion:,"2,-4,12,___,240,-1440,…",48,24,-24,-48,D,
Matemáticas,"En la sucesion geometrica de numeros positivos , determinar la suma de cifras del tercer termino:","y,y+16,9y,...",9,10,11,12,A,
Matemáticas,Determinar el numero y letra que siguen en la sucesion,"A,3,D,6,G,12,J,24,__,__",M y 36,M y 48,N y 36,N y 48,B,
Matemáticas,Indicar la letra que corresponde a la primera posicion en la sucesion:,"__,L,R,W,Z",A,B,C,D,C,
Matemáticas,Que letra sigue en la sucesion?,"I,L,N,P,R,___",S,T,U,V,C,
Matemáticas,Determinar la letra que continua en la sucesion:,"A,C,F,J,L,Ñ,R,…",T,U,V,W,A,
Matemáticas,Identificar el enesimo termino de la siguiente sucesion:,"$\frac{5}{6}, \frac{10}{13}, \frac{15}{20}, \frac{20}{27}, \dots$",$\frac{5n}{7n + 1}$,$\frac{5n}{7n -1}$,$\frac{10n}{7n + 1}$,$\frac{10n}{7n - 1}$,B,
Matemáticas,"Cual de las siguientes expresiones corresponde a una sucesion geometrica para n = 1,2,3,…",,"$2n^{3}$","$3(2)^{n-1}$","$n^{2} + n + 2$","$6 + 12(n-1)$",B,
Matemáticas,"En la sucesion, que lugar ocupa el numero 550?","$-10, -3, 4, 11, \dots$",80,81,82,83,B,
Matemáticas,"Si los terminos pertenecen a una sucesion aritmética, cual es el valor de x ?","$ \dots, 3^{x+2}, 3^{x+3}, 135, \dots $",1,2,3,4,A,
Matemáticas,Determinar la figura que continua en la sucesion:,p1.png,a1.png,b1.png,c1.png,d1.png,A,
Matemáticas,Que figura completa la sucesion?,p2.png,a2.png,b2.png,c2.png,d2.png,C,
Matemáticas,Que hora marcara el reloj que continua en la secuencia?,p3.png,a3.png,b3.png,c3.png,d3.png,B,
Matemáticas,Determinar la figura que continua en la sucesion:,p4.png,a4.png,b4.png,c4.png,d4.png,A,
Matemáticas,Identificar el segmento que corresponde al eje de simetria en la figura siguente:,p5.png,a,b,c,d,C,
Matemáticas,"Dada la siguiente figura en el plano, Se aplican las siguientes transformaciones: <br><br> 1) Primero la figura se refleja en respecto al eje y.  <br><br> 2) Luego, se realiza una segunda reflexion con respecto al origen del plano. Cual es la figura resultante?",p6.png,a6.png,b6.png,c6.png,d6.png,A,
Matemáticas,"Se tiene un triangulo ABC con los vertices A(-1,1), B(1,3) y C(2,2). Cual es la suma de las ordenadas de los vertices del triangulo ABC despues de reflejarlo con respecto a la recta L: y = -0.5",,6,4,2,$-9$,D,
Matemáticas,"Considere la figura, cual es el numero de ejes de simetria que presenta esta figura?",p7.png,2,3,4,5,B,
Matemáticas,Identificar la vista superior de la figura:,p8.png,a8.png,b8.png,c8.png,da8.png,B,
Matemáticas,Cual es el desarrollo plano que corresponde al cuerpo geometrico presentado en la figura?,p9.png,a9.png,b9.png,c9.png,d9.png,C,
Matemáticas,Identificar el patron de dobleces que se forma al plegar una hoja cuadrada en el siguiente orden: <br><br> 1.- Doblar las esquinas de la hoja hacia el centro.  <br><br> 2.- Doblar nuevamente las esquinas del nuevo cuadrado hacia el centro.,p10.png,a10.png,b10.png,c10.png,d10.png,A,
Matemáticas,Cual es la figura que se obtiene al cortar un cono con un plano perpendicular a su base y que pasa por el vertice?,p11.png,a11.png,b11.png,c11.png,d11.png,D,
Matemáticas,Determinar el area de la region sombreada donde ABCD es un cuadrado y ABE esun triangulo equilatero,p12.png,$8 - 4\sqrt{3}$,$8 + 4\sqrt{3}$,$16 - 8\sqrt{3}$,$16 + 8\sqrt{3}$,B,
Matemáticas,Hallar el perimetro de a circunferencia inscrita en la figura:,p13.png,$3\pi(\sqrt{2} - 1)$,$3\pi(\sqrt{2} + 1)$,$6\pi(\sqrt{2} - 1)$,$6\pi(\sqrt{2} + 1)$,A,
Matemáticas,"Calcular la suma de las longitudes de las semicircunferencias $S_{1}, S_{2}$ y $S_{3}$ construidas sobre el diametro AB = 8, donde O es el centro",p14.png,$\pi$,$2\pi$,$3\pi$,$4\pi$,C,
Matemáticas,Ordenar de forma ascendente los cuerpos geometricos segun su volumen.,p15.png,"cono, esfera, cilindro","esfera, cono, cilindro","cono, cilindro, esfera","cilindro, cono, esfera",A,
